,Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,betha,seed,EPH,corr
0,0,2,2.0,2,2.0,1,1,2,1,1,0,2,2,2,1,1,1,1,2,2,1,2,0,2,2.0,1,2,1,2,2,2,2,1,2,2.0,2,1,0,2,1,1,1,1,2,1,0,1,1,0,1,1,2,2,1,2.0,1,2,1,1.0,2,1,2,1,1,2,0.0,1,2,0,1,2,2,2.0,1,2,2.0,1,1,2,2,2,1.0,2,1,0,1,2,2,0,2,2.0,1,2.0,0.4,0,1.1077981651376148,-0.33281436424221
1,1,2,0.0,2,3.0,1,0,1,1,2,0,2,2,0,2,1,1,0,1,2,2,1,2,1,1.0,2,2,2,1,2,1,1,1,2,2.0,1,1,1,0,2,2,1,1,1,1,1,1,1,2,1,2,2,2,1,2.0,2,1,1,1.0,2,1,1,2,1,1,0.0,1,3,2,1,2,1,1.0,0,1,1.0,0,1,1,1,0,2.0,1,1,1,2,2,2,2,2,1.0,2,2.0,0.5,1,1.1039260969976905,-0.17922100003424574
2,2,1,2.0,2,1.0,2,1,1,0,1,1,2,2,2,1,2,0,1,2,2,1,1,2,0,1.0,1,1,1,1,1,1,2,1,1,1.0,0,1,1,2,1,2,0,1,1,0,1,1,1,2,1,0,2,2,1,1.0,1,1,2,1.0,2,1,2,1,2,2,2.0,1,3,2,2,1,1,2.0,0,2,1.0,0,1,2,2,1,3.0,1,0,2,2,1,1,2,1,1.0,1,2.0,0.4,2,1.1241830065359477,-0.27566407462188597
3,3,0,1.0,1,0.0,1,1,1,1,2,2,0,2,1,2,1,1,1,2,2,0,1,0,1,1.0,0,1,1,1,2,2,2,1,1,2.0,1,1,1,1,1,2,1,0,1,1,1,1,1,1,1,2,1,2,2,2.0,1,1,0,1.0,1,1,2,1,1,2,1.0,2,2,1,2,2,2,3.0,0,2,0.0,2,2,1,2,2,1.0,2,1,2,2,2,2,2,1,2.0,2,2.0,0.6,3,1.0875,-0.20508752440297034
4,4,1,0.0,2,3.0,2,2,1,1,2,0,1,1,2,2,1,1,1,2,1,1,2,1,1,1.0,1,1,1,2,2,1,1,1,1,2.0,1,2,2,2,2,1,2,1,2,1,2,2,0,1,1,1,0,2,2,3.0,1,0,1,1.0,0,1,1,2,1,1,2.0,1,1,1,2,0,1,2.0,0,2,1.0,2,1,2,1,1,2.0,1,2,1,1,2,2,0,2,2.0,1,2.0,0.6,4,1.0342105263157895,-0.11278427179014369
5,5,1,2.0,1,2.0,2,2,1,0,0,1,1,1,1,1,1,1,0,1,2,1,1,1,2,2.0,2,1,2,0,1,1,0,2,1,2.0,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1.0,1,1,1,1.0,1,1,1,0,0,1,2.0,1,2,1,1,1,1,1.0,1,0,1.0,1,1,1,0,1,0.0,1,1,1,1,1,1,1,1,2.0,1,2.0,0.6,5,1.0555555555555556,-0.3640529232599633
6,6,1,0.0,1,2.0,2,1,2,2,1,2,0,2,1,1,1,1,2,2,2,1,1,2,1,2.0,1,0,2,1,1,1,1,1,2,2.0,1,2,2,2,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,1.0,1,1,1,2.0,1,1,2,1,0,1,2.0,1,2,1,1,2,1,1.0,2,0,2.0,0,2,0,1,0,0.0,1,1,1,0,1,2,2,1,2.0,2,2.0,0.6,6,1.055690072639225,-0.2751163714496533
7,7,2,1.0,1,2.0,2,2,2,1,1,1,2,2,2,1,0,1,2,2,1,1,2,1,2,0.0,2,0,1,2,2,1,2,1,1,1.0,2,2,2,2,2,2,2,1,1,2,1,2,1,0,1,3,2,2,3,3.0,2,1,1,0.0,1,1,2,1,1,1,2.0,1,1,0,0,1,2,2.0,0,1,2.0,2,1,2,1,2,1.0,2,2,0,1,2,1,1,2,3.0,1,2.0,0.4,7,1.1180555555555556,-0.1000133559247302
8,8,2,1.0,2,3.0,2,0,2,2,0,2,1,2,2,2,2,1,2,2,2,1,1,2,1,1.0,1,1,1,1,1,1,1,1,1,2.0,2,2,2,2,2,2,1,1,1,2,1,1,2,1,0,2,2,1,1,2.0,1,1,2,1.0,1,2,0,1,2,0,2.0,1,1,0,1,1,2,2.0,2,1,1.0,1,1,2,2,2,1.0,2,1,0,0,0,2,1,2,3.0,0,1.0,0.4,8,1.1206896551724137,-0.12306272422273115
9,9,1,1.0,2,2.0,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,0,2.0,1,2,1,1,2,1,1,1,1,0.0,2,1,1,1,1,1,0,1,2,1,1,1,2,1,1,2,1,1,0,2.0,0,1,0,1.0,1,0,1,1,1,1,1.0,0,2,1,2,2,2,2.0,2,1,2.0,1,2,1,1,2,1.0,2,1,1,1,1,2,1,2,2.0,2,0.0,0.6,9,1.070528967254408,-0.16366282480720584
