,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,betha,seed
0,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,0.01,0
1,,0.0,,,,0.0,,,,0.0,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,0.0,,,,0.0,,,,,,,,,,,,,0.01,1
2,,,,,,,,0.0,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,0.0,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,0.0,,,,,,,,,,0.01,2
3,0.0,,,0.0,,,,,,,0.0,,,,,,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.01,3
4,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,0.0,,,0.0,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,0.0,,,,,0.01,4
5,,,,,,,,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,,,,,0.0,,0.0,,,,,,,,,,,,0.01,5
6,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,0.0,,0.0,,0.0,0.0,,,,0.0,,,,,,,,0.01,6
7,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,0.01,7
8,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,0.0,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,0.0,,0.01,8
9,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,,0.0,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.01,9
10,0.0,,,,,,,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,0.01,10
11,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,0.0,,,,0.0,0.0,,,,,,,,,,0.0,0.01,11
12,,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.01,12
13,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,0.0,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,0.01,13
14,,,,,,,,,,,0.0,,0.0,,,,,,,,,,0.0,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,0.0,,,,0.01,14
15,0.0,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,,,,,,,0.0,,,,,,,0.01,15
16,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.01,16
17,,,,,,,0.0,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,0.01,17
18,,,,,,,,,0.0,,,,,,,,,0.0,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,0.0,,,,,,,,,,,,,0.0,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.01,18
19,,,,,,0.0,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,0.0,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.01,19
20,,,,,,,,,,0.0,,,,,,0.0,,,,,0.0,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,0.0,,0.01,20
21,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,0.0,,,0.0,,,,,,,,,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,,,,0.01,21
22,,,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,0.01,22
23,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,0.0,,,,,,,0.0,0.0,0.01,23
